idx1,idx2,EMED,FGTED,Group,(EMED - FGTED),sum Diameter,corrected
3,7,81.31,65.596394,0.0,15.713605999999999,197.56,106.09851774440355
3,8,59.77,45.742682,0.0,14.027318000000001,175.23,79.57698454017138
3,9,92.08,76.233599,0.0,15.846401,187.99,113.8780850854469
4,5,67.68,53.84909,0.0,13.83091000000001,176.95,88.19699094909568
4,6,69.77,49.994319,0.0,19.775681,180.91,85.52469070452601
4,7,71.38,49.44543899999999,0.0,21.934561000000002,204.97,92.16021635494364
4,8,80.65,68.771433,0.0,11.878567000000004,182.64,104.81838915071148
4,9,59.85,49.855284000000005,0.0,9.994715999999997,195.4,89.712423695987
5,6,74.58,60.656139,0.0,13.923860999999995,169.4,92.74958181689895
5,7,81.13,61.490231,0.0,19.639768999999994,193.46,100.76807946731658
5,8,97.96,82.385669,0.0,15.574331,171.13,114.99569626308441
5,9,69.36,54.703037,0.0,14.656962999999998,183.89,91.12324780835995
6,7,63.36,49.944202,0.0,13.415798000000002,197.42,90.40452122274691
6,8,94.38,72.126911,0.0,22.25308899999999,175.09,105.91940901851477
6,9,57.32,40.221272,0.0,17.098728,187.85,77.82395356379028
7,8,80.5,59.74165,0.0,20.75835,199.15,100.71855366893239
7,9,43.71,26.977849000000003,0.0,16.732150999999998,211.91,71.7649362142079
8,9,81.58,64.279291,0.0,17.300708999999998,189.58,102.39855700997576
30,31,133.78,121.18208,3.0,12.597920000000002,111.19,135.8937999195253
30,32,114.48,107.735,3.0,6.7450000000000045,131.56,128.5292778205647
30,33,133.78,114.55629,3.0,19.223709999999997,129.65,134.78023470367782
30,34,139.65,110.81726,3.0,28.83274,141.62,134.6154913053195
30,35,134.16,102.11406000000001,3.0,32.04593999999999,158.81,131.04528935730116
30,36,137.0,104.82453,3.0,32.175470000000004,166.59,136.0788963465052
30,37,136.68,100.72415000000001,3.0,35.95585,165.7,131.71275903025952
30,38,138.55,96.96681099999999,3.0,41.58318900000002,177.59,131.5058183338117
